[2026-01-14 20:31:28.005] [INFO] Progress: 294.4s/500s, 3278 frames, 3278 written, 0 switches
[2026-01-14 20:31:33.007] [INFO] Progress: 299.4s/500s, 3338 frames, 3338 written, 0 switches
[2026-01-14 20:31:38.026] [INFO] Progress: 304.4s/500s, 3423 frames, 3423 written, 0 switches
[2026-01-14 20:31:43.057] [INFO] Progress: 309.4s/500s, 3504 frames, 3504 written, 0 switches
[2026-01-14 20:31:48.062] [INFO] Progress: 314.4s/500s, 3571 frames, 3571 written, 0 switches
[2026-01-14 20:31:53.104] [INFO] Progress: 319.4s/500s, 3659 frames, 3659 written, 0 switches
[2026-01-14 20:31:58.165] [INFO] Progress: 324.5s/500s, 3739 frames, 3739 written, 0 switches
[2026-01-14 20:32:03.191] [INFO] Progress: 329.5s/500s, 3812 frames, 3812 written, 0 switches
[2026-01-14 20:32:08.224] [INFO] Progress: 334.6s/500s, 3901 frames, 3901 written, 0 switches
[2026-01-14 20:32:13.278] [INFO] Progress: 339.6s/500s, 3974 frames, 3974 written, 0 switches
[2026-01-14 20:32:18.294] [INFO] Progress: 344.6s/500s, 4055 frames, 4055 written, 0 switches
[2026-01-14 20:32:23.348] [INFO] Progress: 349.7s/500s, 4145 frames, 4145 written, 0 switches
[2026-01-14 20:32:28.402] [INFO] Progress: 354.7s/500s, 4212 frames, 4212 written, 0 switches
[2026-01-14 20:32:33.424] [INFO] Progress: 359.8s/500s, 4299 frames, 4299 written, 0 switches
[2026-01-14 20:32:38.433] [INFO] Progress: 364.8s/500s, 4390 frames, 4390 written, 0 switches
[2026-01-14 20:32:43.475] [INFO] Progress: 369.8s/500s, 4455 frames, 4455 written, 0 switches
[2026-01-14 20:32:48.485] [INFO] Progress: 374.8s/500s, 4546 frames, 4546 written, 0 switches
[2026-01-14 20:32:53.567] [INFO] Progress: 379.9s/500s, 4633 frames, 4633 written, 0 switches
[2026-01-14 20:32:58.586] [INFO] Progress: 384.9s/500s, 4703 frames, 4703 written, 0 switches
[2026-01-14 20:33:03.606] [INFO] Progress: 390.0s/500s, 4792 frames, 4792 written, 0 switches
