[2026-01-15 17:58:52.789] [INFO] Starting highlight output generation: Highlight_20260115_175852.mp4
[2026-01-15 17:58:52.791] [INFO] Configuration: skip=0s, max_dur=600s
[2026-01-15 17:58:52.878] [INFO] Opened 2 cameras for output
[2026-01-15 17:58:52.879] [INFO] Camera 0: 1920x1080 @ 30.00fps, skip=0 frames
[2026-01-15 17:58:52.879] [INFO] Camera 1: 1920x1080 @ 30.00fps, skip=0 frames
[2026-01-15 17:58:53.109] [INFO] All cameras synchronized after skip
[2026-01-15 17:58:53.110] [INFO] Trackers and statistics reset
[2026-01-15 17:58:53.110] [INFO] Starting Phase 0: Startup camera selection
[2026-01-15 17:58:53.110] [INFO] Config: scan_frames=900, min_detections=3, conf_threshold=0.12
[2026-01-15 17:59:35.065] [INFO] Camera 0 scan: detections=285, avg_conf=0.66, frames_read=900
[2026-01-15 18:00:17.596] [INFO] Camera 1 scan: detections=541, avg_conf=0.63, frames_read=900
[2026-01-15 18:00:17.597] [INFO] Selected camera 0 with 285 detections, avg_conf=0.66
[2026-01-15 18:00:17.598] [INFO] Trackers and statistics reset
[2026-01-15 18:00:17.599] [INFO] Phase 0 complete: selected camera 0, duration=84.5s
[2026-01-15 18:00:17.599] [INFO] Starting highlight video generation
[2026-01-15 18:00:17.599] [INFO] Starting camera: 0 (RIGHT_CAM)
[2026-01-15 18:00:17.747] [INFO] Video writer initialized: 1920x1080 @ 30.00fps
[2026-01-15 18:04:43.344] [INFO] Progress: 349.7s/600s, 590 frames, 590 written, 0 switches
[2026-01-15 18:04:49.095] [INFO] Progress: 355.2s/600s, 602 frames, 602 written, 0 switches
[2026-01-15 18:04:54.523] [INFO] Progress: 361.0s/600s, 614 frames, 614 written, 0 switches
[2026-01-15 18:04:59.876] [INFO] Progress: 366.1s/600s, 626 frames, 626 written, 0 switches
[2026-01-15 18:05:04.956] [INFO] Progress: 371.1s/600s, 638 frames, 638 written, 0 switches
[2026-01-15 18:05:09.993] [INFO] Progress: 377.1s/600s, 649 frames, 649 written, 0 switches
[2026-01-15 18:05:15.435] [INFO] Progress: 382.1s/600s, 660 frames, 660 written, 0 switches
[2026-01-15 18:05:20.747] [INFO] Progress: 386.6s/600s, 672 frames, 672 written, 0 switches
[2026-01-15 18:05:26.659] [INFO] Progress: 392.9s/600s, 684 frames, 684 written, 0 switches
[2026-01-15 18:05:32.111] [INFO] Progress: 398.5s/600s, 700 frames, 700 written, 0 switches
[2026-01-15 18:05:37.286] [INFO] Progress: 403.5s/600s, 708 frames, 708 written, 0 switches
[2026-01-15 18:05:42.451] [INFO] Progress: 409.0s/600s, 722 frames, 722 written, 0 switches
[2026-01-15 18:05:47.826] [INFO] Progress: 413.6s/600s, 734 frames, 734 written, 0 switches
[2026-01-15 18:05:52.891] [INFO] Progress: 419.0s/600s, 742 frames, 742 written, 0 switches
[2026-01-15 18:05:58.320] [INFO] Progress: 424.6s/600s, 758 frames, 758 written, 0 switches
[2026-01-15 18:06:03.352] [INFO] Progress: 430.4s/600s, 767 frames, 767 written, 0 switches
[2026-01-15 18:06:08.939] [INFO] Progress: 435.4s/600s, 780 frames, 780 written, 0 switches
[2026-01-15 18:06:13.969] [INFO] Progress: 440.2s/600s, 792 frames, 792 written, 0 switches
[2026-01-15 18:06:19.193] [INFO] Progress: 445.9s/600s, 800 frames, 800 written, 0 switches
[2026-01-15 18:06:24.798] [INFO] Progress: 451.1s/600s, 816 frames, 816 written, 0 switches
[2026-01-15 18:06:30.353] [INFO] Progress: 455.8s/600s, 826 frames, 826 written, 0 switches
[2026-01-15 18:06:35.647] [INFO] Progress: 462.0s/600s, 840 frames, 840 written, 0 switches
[2026-01-15 18:06:41.014] [INFO] Progress: 467.2s/600s, 852 frames, 852 written, 0 switches
[2026-01-15 18:06:46.525] [INFO] Progress: 472.6s/600s, 864 frames, 864 written, 0 switches
[2026-01-15 18:06:51.544] [INFO] Progress: 478.6s/600s, 877 frames, 877 written, 0 switches
[2026-01-15 18:06:56.659] [INFO] Progress: 483.2s/600s, 890 frames, 890 written, 0 switches
[2026-01-15 18:07:02.208] [INFO] Progress: 488.6s/600s, 900 frames, 900 written, 0 switches
[2026-01-15 18:07:07.533] [INFO] Progress: 494.2s/600s, 912 frames, 912 written, 0 switches
[2026-01-15 18:07:13.376] [INFO] Progress: 499.0s/600s, 926 frames, 926 written, 0 switches
[2026-01-15 18:07:19.087] [INFO] Progress: 505.2s/600s, 936 frames, 936 written, 0 switches
[2026-01-15 18:07:24.571] [INFO] Progress: 511.0s/600s, 952 frames, 952 written, 0 switches
[2026-01-15 18:07:29.890] [INFO] Progress: 515.4s/600s, 960 frames, 960 written, 0 switches
[2026-01-15 18:07:35.130] [INFO] Progress: 521.7s/600s, 974 frames, 974 written, 0 switches
[2026-01-15 18:07:41.542] [INFO] Progress: 527.2s/600s, 988 frames, 988 written, 0 switches
[2026-01-15 18:07:46.770] [INFO] Progress: 533.4s/600s, 998 frames, 998 written, 0 switches
[2026-01-15 18:07:51.920] [INFO] Progress: 538.2s/600s, 1012 frames, 1012 written, 0 switches
[2026-01-15 18:07:58.494] [INFO] Progress: 544.0s/600s, 1022 frames, 1022 written, 0 switches
[2026-01-15 18:08:04.076] [INFO] Progress: 550.4s/600s, 1038 frames, 1038 written, 0 switches
[2026-01-15 18:08:09.245] [INFO] Progress: 555.0s/600s, 1048 frames, 1048 written, 0 switches
[2026-01-15 18:08:14.791] [INFO] Progress: 561.3s/600s, 1060 frames, 1060 written, 0 switches
[2026-01-15 18:08:19.841] [INFO] Progress: 566.1s/600s, 1072 frames, 1072 written, 0 switches
[2026-01-15 18:08:25.147] [INFO] Progress: 571.3s/600s, 1082 frames, 1082 written, 0 switches
[2026-01-15 18:08:30.738] [INFO] Progress: 577.1s/600s, 1096 frames, 1096 written, 0 switches
[2026-01-15 18:08:36.129] [INFO] Progress: 582.7s/600s, 1108 frames, 1108 written, 0 switches
[2026-01-15 18:08:41.173] [INFO] Progress: 587.4s/600s, 1118 frames, 1118 written, 0 switches
[2026-01-15 18:08:46.436] [INFO] Progress: 592.7s/600s, 1130 frames, 1130 written, 0 switches
[2026-01-15 18:08:51.967] [INFO] Progress: 598.0s/600s, 1144 frames, 1144 written, 0 switches
[2026-01-15 18:08:53.090] [INFO] Reached MAX_DUR limit: 600s
[2026-01-15 18:08:53.106] [INFO] Highlight generation complete: 1146 frames in 600.2s
[2026-01-15 18:08:53.106] [INFO] Results: switches=0, errors=0
